source_id,designation,ra,dec,Glong,Glat,ecl_lon,ecl_lat,parallax,pmra,pmdec,ra_error,dec_error,parallax_error,pmra_error,pmdec_error,ruwe,pm,random_index,solution_id,dist_bw_hpm_bgs,ra_bgs,era_bgs,dec_bgs,edec_bgs,source_id bgs,plx_bgs,eplx_bgs,pm_bgs,pmra_bgs,epmra_bgs,pmdec_bgs,epmdec_bgs,RUWE_bgs,g_mag_HPMS,bp_mag_HPMS,rp_mag_HPMS,bp_rp_HPMS,bp_g_HPMS,g_rp_HPMS,g_mag_bgs,bp_mag_bgs,rp_mag_bgs,bp_rp_bgs,TIMESTAMP,M_G,DIST,SPEEED,TIME,FAC,YEARS AFTER,DATE,year
5.59E+18,Gaia EDR3 5592992282144007040,112.2634964,-32.07597342,245.5872077,-6.830152458,122.2791064,-53.04900643,7.598493132,202.3523713,-292.1687238,0.026125358,0.034388144,0.038493004,0.03432822,0.039147064,1.0084653,355.39984,1566525127,1.64E+18,0.001208711,112.2642824,0.32677513,-32.07698207,0.4023782,5.59E+18,1.167951122,0.4998178,14.253841,-3.648840502,0.42939678,13.77889582,0.4458702,1.0699415,16.40523,17.991224,15.192262,2.7989626,1.5859947,1.2129679,20.353537,21.524733,19.135641,2.3890915,0.00343,10.80886738,0.001208711,355.39984,12.24356094,3569.551295,12.348,04-05-2028,2028
6.26E+18,Gaia EDR3 6258313743128602752,230.5906474,-17.03064744,346.9522464,32.64735185,232.6120463,1.440695602,6.705425972,-123.0631167,-52.29794499,0.034476295,0.026769469,0.036725357,0.045804333,0.035009257,1.006692,133.71465,991344173,1.64E+18,0.001190802,230.5895335,0.5487835,-17.03117998,0.34980437,6.26E+18,0.616560787,0.5873553,2.0387175,-1.055182919,0.61665887,-1.744407644,0.46612498,0.97066,15.572764,16.71457,14.503585,2.2109842,1.1418047,1.0691795,19.940321,20.378105,19.073475,1.3046303,0.0091,9.704895861,0.001190802,133.71465,32.0599665,3523.073242,32.76,26-09-2048,2048
4.30E+18,Gaia EDR3 4302152093433212544,293.4298341,8.891423611,45.70641229,-5.210894601,297.0232007,30.15902307,6.592011258,21.87759139,-105.2551673,0.014719074,0.013834395,0.019881736,0.017555876,0.015255606,0.77566916,107.50478,279936005,1.64E+18,0.001165159,293.430096,0.122646935,8.890287534,0.104959026,4.30E+18,0.008113767,0.14409967,2.2235873,0.335204605,0.16558295,-2.198176086,0.12638187,1.0676835,11.358503,11.758564,10.790912,0.9676523,0.40006065,0.56759167,17.61771,17.517649,16.388508,1.1291409,0.011,5.453592702,0.001165159,107.50478,39.01754322,3547.049384,39.6,29-07-2055,2055
6.00E+18,Gaia EDR3 5995233321090696448,239.4530012,-41.68198677,336.2366522,8.831220528,246.0519825,-20.74893487,5.817647015,-70.91925464,-142.9455953,0.15141188,0.09481158,0.19392261,0.17891914,0.14340344,1.660522,159.57124,80406438,1.64E+18,0.00119963,239.4524267,0.22800659,-41.68310706,0.1344541,6.00E+18,0.561828589,0.28774932,2.2071836,0.996955546,0.30671987,1.969197442,0.20948154,1.0539607,17.49629,19.014868,16.241047,2.7738209,1.5185776,1.2552433,18.963064,19.658236,18.214714,1.4435215,0.0078,11.32002683,0.00119963,159.57124,27.06420029,3469.769268,28.08,23-01-2044,2044
3.15E+17,Gaia EDR3 314922605759778048,16.95672268,34.21062012,126.7884981,-28.5383758,29.35659614,24.82848559,42.62661038,1373.622854,480.4575489,0.02030172,0.017778661,0.02469089,0.026019732,0.02182338,1.5601671,1455.2249,794560978,1.64E+18,0.001060783,16.95791839,0.17979184,34.21100417,0.1619665,3.15E+17,-0.028677928,0.21539427,2.2407546,-2.043470467,0.27650225,-0.919352681,0.21616101,1.0646849,12.357573,13.602087,11.251356,2.350731,1.2445145,1.1062164,18.5931,18.650496,17.263622,1.3868732,0.00083,10.505977,0.001060783,1455.2249,2.624212106,3161.701333,2.988,26-12-2018,2018
4.21E+18,Gaia EDR3 4213502800177553536,291.444334,-3.376424504,33.83340941,-9.176534098,292.619816,18.39473015,1.505402666,-8.223574727,-107.001346,0.08268456,0.06688362,0.09097082,0.10588693,0.08224305,0.96241003,107.316895,1750545367,1.64E+18,0.000512,291.4443301,0.52607703,-3.376936265,0.45824727,4.21E+18,-0.128984264,0.6382696,2.2500515,0.136673193,0.65691775,-2.245896675,0.520849,1.0519295,17.216055,18.146141,16.21622,1.9299202,0.93008614,0.99983406,19.884714,9000000000,9000000000,9000000000,0.0049,8.104318404,0.000512,107.316895,17.17530124,3505.163519,17.64,17-08-2033,2033
6.07E+18,Gaia EDR3 6069252856179503488,204.768776,-52.1268636,310.3245175,10.05979605,224.6138265,-38.45682469,6.371116991,-176.6011553,-15.59236652,0.071460776,0.09261581,0.10857396,0.10011962,0.11298001,0.99866235,177.28816,1346009392,1.64E+18,0.000624,204.767775,0.07469161,-52.12697443,0.09634348,6.07E+18,0.825783813,0.11743709,14.750592,-14.42554613,0.10567816,-3.079543188,0.113944866,0.9492445,17.557226,18.899252,16.24634,2.6529121,1.3420258,1.3108864,17.706104,18.464159,16.836233,1.6279259,0.0062,11.5783039,0.000624,177.28816,12.67089692,2043.693051,22.32,21-04-2038,2038
3.11E+18,Gaia EDR3 3112262426582612608,104.871838,-0.786755541,214.5501489,1.431850179,106.2372078,-23.39164836,2.546822039,16.94114667,-128.493673,0.15859032,0.15447798,0.18371868,0.20511666,0.19598427,0.976182,129.60565,942957327,1.64E+18,0.000906,104.8717673,0.10434776,-0.787658849,0.1024731,3.11E+18,1.586825515,0.12334791,17.518217,16.38220978,0.1309209,-6.20573531,0.12644987,0.95405,18.741377,19.99076,17.602324,2.3884373,1.2493839,1.1390533,18.02001,19.12227,16.9652,2.1570702,0.00736,10.77137,0.000906,129.60565,25.16556956,3419.234994,26.496,24-06-2042,2042
5.71E+18,Gaia EDR3 5711127831511480064,119.5715569,-23.26268973,241.1402337,3.154673513,128.2076332,-42.85881988,2.229832084,16.4746596,-109.2126312,0.21015333,0.21472712,0.3139821,0.22690079,0.2939832,0.94453704,110.448235,137265869,1.64E+18,0.000507,119.5716712,0.010159948,-23.26318531,0.012503163,5.71E+18,0.525097709,0.016583629,2.2715838,-1.610543687,0.01146336,-1.601949319,0.015478461,0.93632495,19.224823,,,,,,14.243589,14.558677,13.75707,0.80160713,0.00463,10.9661838,0.000507,110.448235,16.52538857,3569.198395,16.668,27-08-2032,2032
5.36E+17,Gaia EDR3 536352290410413952,10.14568691,71.02749126,122.0408675,8.174524266,53.25887063,57.65684415,9.456914538,335.7457658,24.34798572,0.009842518,0.010257182,0.012156444,0.012179423,0.012794581,0.9717138,336.62744,1502955125,1.64E+18,0.001091775,10.14898629,0.20281434,71.0276946,0.31807655,5.36E+17,0.774974119,0.27172464,2.280025,-2.18715534,0.39767057,0.644100572,0.40958497,1.0095655,9.734065,10.044075,9.25249,0.79158497,0.31000996,0.481575,18.849304,9000000000,9000000000,9000000000,0.00969,4.612812322,0.001091775,336.62744,11.67578615,1204.931491,34.884,10-11-2050,2050
